order_id,order_date,category,region,sales_amount,units_sold,customer_satisfaction
1001,2024-01-05,Electronics,North,1250.50,5,4.8
1002,2024-01-07,Furniture,East,820.00,2,4.2
1003,2024-01-12,Electronics,West,2100.75,8,4.9
1004,2024-01-15,Clothing,South,450.20,10,3.9
1005,2024-01-18,Furniture,North,1150.00,4,4.5
1006,2024-01-22,Electronics,South,3400.00,12,5.0
1007,2024-01-25,Clothing,East,620.40,15,4.1
1008,2024-02-02,Electronics,East,1890.00,6,4.7
1009,2024-02-05,Furniture,West,950.80,3,4.0
1010,2024-02-10,Clothing,North,780.00,11,4.3
1011,2024-02-14,Electronics,North,2800.25,9,4.8
1012,2024-02-20,Furniture,South,1400.00,5,4.6
